basalt	pillow	1	subglacial eruptions produced pillow basalts porter , 1987	basalte	coussin	1	de bas en haut , on identifie des péridotites , des gabbros lités à la base et massifs dans la partie supérieure , un ensemble de filons subverticaux , des basaltes en coussins ou pillow-lavas , et enfin des sédiments siliceux ou radiolarites
basalt	pillow	2	when basalt enters water passively , it forms pillow basalt	basalte	coussin		
basalt	pillow	3	typically , the lava quenches quickly against the bottom waters to produce characteristic bulbous shapes called pillow basalt	basalte	coussin		
basalt	pillow	4	pillow basalts	basalte	coussin		
basalt	pillow	5	fissure eruptions are common along mid-ocean ridges and produce pillow basalts	basalte	coussin		
basalt	pillow	6	basalt fragmentation can occur by the explosive eruption process , or by an essentially nonexplosive process associated with the spalling of pillow basalt rinds by thermal shock or chill shattering	basalte	coussin		
basalt	pillow	7	on top of the dikes lies cooled , fractured lava called pillow basalt , rife with cracks and voids through which seawater circulates	basalte	coussin		
basalt	rhyolite	1	the compositional spectrum of these rock types may vary from basalt to rhyolite in a single volcano; however , the overall average composition of stratovolcanoes is andesitic	basalte	rhyolite	1	figure 5 rhyolite et basalte les basaltes lave cordée au premier plan sont issus de magma très fluide , pauvre en silice mais dense
basalt	rhyolite			basalte	rhyolite	2	du basalte ou de la rhyolite
basalt	andesite	1	the magma produced by this mechanism varies from basalt to andesite in composition	basalte	andésite	1	c est alors une roche volcanique qui , selon sa nature , s appelle basalte , andésite , rhyolite
basalt	column	1	scoria cones are generated by strombolian eruptions , which produce eruptive columns of basalt tephra generally only a few hundred meters high	basalte	colonne	1	desmarest commence ses recherches en volcanologie en 1763 , en auvergne , où il étudie les colonnes de basalte : il est le premier à reconnaître leur origine volcanique
basalt	column	2	basalt columns	basalte	colonne	2	la faille de thingvellir , les labyrinthes de sables enchantés du landmannalaugar , les colonnes de basalte qui forment d interminables orgues pour le concert des dieux , les glaciers que déchirent des gorges bleues et vertigineuses , comme celle de fjadrargljufur , près de kirkjubaejarklaustur , les icebergs impassibles des fjords , les cônes massacrés des volcans , ces dalles d église que la nature a taillées , à l est du mont klaustur , entre les glaces et la mer
basalt	column	3	23 catherine hickson above examines columns of basalt formed from cooling lava about 10,000 years ago near today s whistler , b.c	basalte	colonne	3	il pencherait plutôt pour une doctrine neptuniste , reléguant le volcanisme au second rang par rapport au travail incessant de l eau.les colonnes de basalte auvergnates . toutes les apparences concourent à identifier desmarest comme l auteur du manuscrit de rouen
basalt	tuff	1	a construction of volcanic tuff and basalt , it is dominated both physically and economically by the volcano	basalte	tuf	1	les produits dérivés des volcans , comme le tuf , le basalte , la pierre ponce , s offrent à de très nombreux usages
cinder	accumulation	1	cinder cones are conical hills produced by the accumulation of cinders and other tephra	scorie	monceau	1	ici , seule la nature s autorise le plus grand désordre , laissant traîner partout des monceaux de scories , déroulant jusqu à la mer des champs de lave déchiquetée ou convulsée
cinder	accumulation	2	a cinder cones is a conical hill formed by the accumulation of cinders and other pyroclasts , normally of basaltic and andesitic composition bates and jackson , 1980 , p	scorie	monceau		
cinder	accumulation	1	cinder cones are conical hills produced by the accumulation of cinders and other tephra	scorie	tas	1	- les coulées rugueuses , morcelées , souvent épaisses , formant des tas de scories
cinder	accumulation	2	a cinder cones is a conical hill formed by the accumulation of cinders and other pyroclasts , normally of basaltic and andesitic composition bates and jackson , 1980 , p	scorie	tas		
cinder	accumulation	1	cinder cones are conical hills produced by the accumulation of cinders and other tephra	scorie	amas	1	aujourd hui , la nature investitpeu à peu les coulées de lave et les amas de scories de surtsey
cinder	accumulation	2	a cinder cones is a conical hill formed by the accumulation of cinders and other pyroclasts , normally of basaltic and andesitic composition bates and jackson , 1980 , p	scorie	amas		
cinder	accumulation	1	cinder cones are conical hills produced by the accumulation of cinders and other tephra	scorie	accumulation	1	vous avez dit types d éruptions ? types d éruptions hawaïenne , magma/lave , lave basaltique très fluide , relief , vaste cône surbaissé , aux pentes douces , volcan-bouclier , produits , lave cordée caractéristiques , coulées de lave se répandant sur d immenses surfaces strombolienne , magma/lave , alternance de coulées de lave et d accumulation de scories , relief , strato-volcan , produits , cendres , bombes , caractéristiques , alternance de phases explosives et effusives
cinder	accumulation	2	a cinder cones is a conical hill formed by the accumulation of cinders and other pyroclasts , normally of basaltic and andesitic composition bates and jackson , 1980 , p	scorie	accumulation		
cinder	mound	1	most of it falls near the summit , building a steep-sided mound of cinders	scorie	monceau	1	ici , seule la nature s autorise le plus grand désordre , laissant traîner partout des monceaux de scories , déroulant jusqu à la mer des champs de lave déchiquetée ou convulsée
cinder	mound	1	most of it falls near the summit , building a steep-sided mound of cinders	scorie	tas	1	- les coulées rugueuses , morcelées , souvent épaisses , formant des tas de scories
cinder	bit	1	at devastation trail , our next stop , we paused at a cinder cones called puu puai , created in 1959 when a lava fountain surged out of a vent in kilauea s side and threw up cinder bits that fell steadily around the vent , eventually forming the cone	scorie	fragment	1	aujourd hui encore , toutes les 10 minutes environ , l une des cinq bouches éruptives du cratère émet des panaches incandescents de scories , fragments de lave poreux , en de superbes paraboles de feu
cinder	bit			scorie	fragment	2	scories , fragments de magma pleins de petits trous et de formes très irrégulières projetés violemment par le volcan
cinder	bit			scorie	fragment	3	scories , fragments de roches provenant de la lave éjectée à l état liquide
cinder	bomb	1	bombs and cinder exposed in a quarry wall at puu kawaiwai , kohala , hawaii	scorie	bombe	1	en arrivant à la surface , le magma se dissocie en : - des produits liquides : laves ; - des produits solides ou solidifiés : blocs , bombes , scories , cendres , etc
cinder	bomb			scorie	bombe	2	lorsque la pression dépasse la résistance du bouchon , une violente explosion projette des cendres , des scories , des bombes à plusieurs kilomètres de hauteur
cinder	bomb			scorie	bombe	3	un cône se forme par des dépôts successifs de coulées de lave et de matériaux explosifs cendres , bombes , scories
cinder	bomb			scorie	bombe	4	pas ou peu de coulées , relief , cône formé par l accumulation de brèches , produits , cendres , scories , bombes , caractéristiques , violentes explosions
cinder	bomb			scorie	bombe	5	lorsque les magmas parviennent à la surface de la croûte terrestre par un ou plusieurs conduits appelés cheminées , ils libèrent : des liquides ou laves ; des produits solides ou solidifiés : blocs , bombes , scories , cendres , etc
cinder	bomb			scorie	bombe	6	ce genre de crise est spécifique aux volcans gris , explosifs , qui crachent aussi des bombes et des scories
cinder	cone	1	rainier is dwarfed by mauna loa , and cinder cones are tiny in proportion to the other types	scorie	cône	1	les cônes de scories ici , au piton de la fournaise , île de la réunion s édifient à partir des fontaines de lave
cinder	cone	2	by studying the extent of erosion and soil development on lathrop wells , the researchers compared this volcanic cinder cones with a similar cone in southeastern california , indirectly dated at about 15,000 to 20,000 years old	scorie	cône	2	ainsi , entre -100 000 ans et -8 000 ans , quelques dizaines de cônes de scories entourés de leurs coulées se sont construits
cinder	cone	3	the cinder cones in the above photo is puu lilinue on mauna kea in hawaii	scorie	cône	3	80 d entre eux sont des cônes de scories de type strombolien résultant chacun d une éruption unique édifices monogéniques
cinder	cone	4	one of the very few volcanoes observed by geologists from beginning to end is the cinder cones called paricutin about 200 miles west of mexico city	scorie	cône	4	ici le cône de scories du pariou , vieux de 9 000 ans , édifié en quelques mois d éruption
