basalt	joint	1	g is for the giant s causeway giant s causeway northern ireland s most spectacular tourist attraction is a prime example of columnar jointing of a basalt lava flow	basalte	commun	1	elle est dure , a une température de 0 à 1 500 °c et se compose essentiellement d une roche volcanique très commune : le basalte
basalt	dissolve	1	it meant that the basalt was dissolving in the hot seawater , yielding a chemical plume that might hold within it the ingredients for the recipe of life	basalte	fondu	1	jusqu à 300 kilomètres de profondeur , il se compose de basalte fondu et mou le magma ; plus bas , il devient dur
basalt	pillow	1	subglacial eruptions produced pillow basalts porter , 1987	basalte	coussin	1	de bas en haut , on identifie des péridotites , des gabbros lités à la base et massifs dans la partie supérieure , un ensemble de filons subverticaux , des basaltes en coussins ou pillow-lavas , et enfin des sédiments siliceux ou radiolarites
basalt	pillow	2	when basalt enters water passively , it forms pillow basalt	basalte	coussin		
basalt	pillow	3	typically , the lava quenches quickly against the bottom waters to produce characteristic bulbous shapes called pillow basalt	basalte	coussin		
basalt	pillow	4	pillow basalts	basalte	coussin		
basalt	pillow	5	fissure eruptions are common along mid-ocean ridges and produce pillow basalts	basalte	coussin		
basalt	pillow	6	basalt fragmentation can occur by the explosive eruption process , or by an essentially nonexplosive process associated with the spalling of pillow basalt rinds by thermal shock or chill shattering	basalte	coussin		
basalt	pillow	7	on top of the dikes lies cooled , fractured lava called pillow basalt , rife with cracks and voids through which seawater circulates	basalte	coussin		
basalt	rhyolite	1	the compositional spectrum of these rock types may vary from basalt to rhyolite in a single volcano; however , the overall average composition of stratovolcanoes is andesitic	basalte	rhyolite	1	figure 5 rhyolite et basalte les basaltes lave cordée au premier plan sont issus de magma très fluide , pauvre en silice mais dense
basalt	rhyolite			basalte	rhyolite	2	du basalte ou de la rhyolite
basalt	andesite	1	the magma produced by this mechanism varies from basalt to andesite in composition	basalte	andésite	1	c est alors une roche volcanique qui , selon sa nature , s appelle basalte , andésite , rhyolite
basalt	column	1	scoria cones are generated by strombolian eruptions , which produce eruptive columns of basalt tephra generally only a few hundred meters high	basalte	colonne	1	desmarest commence ses recherches en volcanologie en 1763 , en auvergne , où il étudie les colonnes de basalte : il est le premier à reconnaître leur origine volcanique
